subject,area_real,dias_legales,urgencia
Error en el registro del autovalúo del predio ubicado en 28 de Julio número 363,Rentas y Administración,30,Media
Bache enorme y peligroso en la pista de la Av. Larco cuadra 926,Desarrollo Urbano,5,Alta
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,40,Baja
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,45,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,40,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,65,Baja
Simulacro municipal y capacitación de brigadas de Defensa Civil en Huallaga,Defensa Civil,60,Baja
Pago de impuesto de alcabala por compra de departamento en calle Grau,Rentas y Administración,45,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,35,Media
Comercio informal y ambulantes obstruyendo la entrada en calle Cuzco,Licencias y Fiscalización,25,Media
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Carabaya,Medio Ambiente,35,Media
Error en el registro del autovalúo del predio ubicado en Carabaya número 766,Rentas y Administración,25,Media
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Junín,Medio Ambiente,10,Alta
Instalación de letrero publicitario comercial sin autorización municipal,Licencias y Fiscalización,65,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Bache enorme y peligroso en la pista de la Av. Larco cuadra 117,Desarrollo Urbano,15,Alta
Comercio informal y ambulantes obstruyendo la entrada en calle Lampa,Licencias y Fiscalización,35,Media
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 970,Medio Ambiente,8,Alta
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,65,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,60,Baja
Pago de impuesto de alcabala por compra de departamento en calle Tacna,Rentas y Administración,45,Baja
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,35,Media
Error en el registro del autovalúo del predio ubicado en San Martín número 238,Rentas y Administración,30,Media
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,58,Baja
Comercio informal y ambulantes obstruyendo la entrada en calle Tarapacá,Licencias y Fiscalización,25,Media
Simulacro municipal y capacitación de brigadas de Defensa Civil en 28 de Julio,Defensa Civil,60,Baja
Repavimentación y parchado de pista rota en el pasaje Carabaya,Desarrollo Urbano,30,Media
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,25,Media
Construcción clandestina vecinal que invade retiro municipal en Bolognesi,Desarrollo Urbano,10,Alta
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,60,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,40,Baja
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,40,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,55,Baja
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,8,Alta
Bache enorme y peligroso en la pista de la Av. Larco cuadra 908,Desarrollo Urbano,12,Alta
Acumulación de basura y residuos sólidos en la esquina del parque de la calle La Unión,Medio Ambiente,15,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Solicitud de certificado catastral e información sobre zonificación de mi predio en La Unión,Desarrollo Urbano,59,Baja
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,11,Alta
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Lampa,Medio Ambiente,10,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Huallaga,Medio Ambiente,25,Media
Construcción clandestina vecinal que invade retiro municipal en San Martín,Desarrollo Urbano,8,Alta
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,11,Alta
Comercio informal y ambulantes obstruyendo la entrada en calle Tarapacá,Licencias y Fiscalización,35,Media
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Pago de impuesto de alcabala por compra de departamento en calle Tarapacá,Rentas y Administración,50,Baja
Simulacro municipal y capacitación de brigadas de Defensa Civil en Puno,Defensa Civil,65,Baja
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Derrumbe parcial de vereda pública frente a la casa 212 de la calle Huallaga,Desarrollo Urbano,15,Alta
Bache enorme y peligroso en la pista de la Av. Larco cuadra 578,Desarrollo Urbano,5,Alta
Hueco en la calzada de la calle Bolognesi que daña los vehículos,Desarrollo Urbano,35,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Puno,Licencias y Fiscalización,20,Alta
Hueco en la calzada de la calle Carabaya que daña los vehículos,Desarrollo Urbano,35,Media
Construcción clandestina vecinal que invade retiro municipal en Cuzco,Desarrollo Urbano,13,Alta
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,30,Media
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,13,Alta
Derrumbe parcial de vereda pública frente a la casa 982 de la calle Tarapacá,Desarrollo Urbano,20,Alta
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,30,Media
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,58,Baja
Derrumbe parcial de vereda pública frente a la casa 472 de la calle Junín,Desarrollo Urbano,10,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,7,Alta
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,50,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,50,Baja
Bache enorme y peligroso en la pista de la Av. Larco cuadra 447,Desarrollo Urbano,8,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,12,Alta
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Grau,Licencias y Fiscalización,13,Alta
Hueco en la calzada de la calle 28 de Julio que daña los vehículos,Desarrollo Urbano,25,Media
Construcción clandestina vecinal que invade retiro municipal en Carabaya,Desarrollo Urbano,15,Alta
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,10,Alta
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,60,Baja
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,31,Baja
Queja por ruidos molestos excesivos de la discoteca local en la Av. San Martín,Licencias y Fiscalización,20,Alta
Construcción clandestina vecinal que invade retiro municipal en Huancavelica,Desarrollo Urbano,11,Alta
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,50,Baja
Solicitud de certificado catastral e información sobre zonificación de mi predio en Huallaga,Desarrollo Urbano,51,Baja
Plaga de roedores en los jardines públicos cercanos a la calle Bolognesi,Medio Ambiente,10,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,8,Alta
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,13,Alta
Repavimentación y parchado de pista rota en el pasaje Huancavelica,Desarrollo Urbano,30,Media
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,25,Media
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,8,Alta
Instalación de letrero publicitario comercial sin autorización municipal,Licencias y Fiscalización,60,Baja
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Construcción clandestina vecinal que invade retiro municipal en Cuzco,Desarrollo Urbano,5,Alta
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en 28 de Julio,Licencias y Fiscalización,9,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Junín,Medio Ambiente,30,Media
Queja por ruidos molestos excesivos de la discoteca local en la Av. Tarapacá,Licencias y Fiscalización,20,Alta
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Construcción clandestina vecinal que invade retiro municipal en Tacna,Desarrollo Urbano,13,Alta
Plaga de roedores en los jardines públicos cercanos a la calle Lampa,Medio Ambiente,10,Alta
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,10,Alta
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Construcción clandestina vecinal que invade retiro municipal en Tarapacá,Desarrollo Urbano,8,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,5,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Arequipa,Medio Ambiente,25,Media
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,11,Alta
Error en el registro del autovalúo del predio ubicado en Cuzco número 623,Rentas y Administración,25,Media
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,50,Baja
Error en el registro del autovalúo del predio ubicado en Lima número 515,Rentas y Administración,35,Media
Queja por ruidos molestos excesivos de la discoteca local en la Av. Bolognesi,Licencias y Fiscalización,15,Alta
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,60,Baja
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón 28 de Julio,Defensa Civil,5,Alta
Simulacro municipal y capacitación de brigadas de Defensa Civil en Tacna,Defensa Civil,60,Baja
Repavimentación y parchado de pista rota en el pasaje La Unión,Desarrollo Urbano,30,Media
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Carabaya,Medio Ambiente,30,Media
Bache enorme y peligroso en la pista de la Av. Larco cuadra 944,Desarrollo Urbano,7,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,12,Alta
Pago de impuesto de alcabala por compra de departamento en calle Arequipa,Rentas y Administración,45,Baja
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,40,Baja
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,50,Baja
Pago de impuesto de alcabala por compra de departamento en calle Huallaga,Rentas y Administración,40,Baja
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Junín,Licencias y Fiscalización,15,Alta
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,11,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Junín,Medio Ambiente,25,Media
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,10,Alta
Repavimentación y parchado de pista rota en el pasaje Tarapacá,Desarrollo Urbano,25,Media
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,40,Baja
Vecino arroja agua sucia y desperdicios al jardín público de la Av. San Martín,Medio Ambiente,30,Media
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,55,Baja
Plaga de roedores en los jardines públicos cercanos a la calle Cuzco,Medio Ambiente,20,Alta
Hueco en la calzada de la calle Huallaga que daña los vehículos,Desarrollo Urbano,30,Media
Bache enorme y peligroso en la pista de la Av. Larco cuadra 146,Desarrollo Urbano,15,Alta
Obstrucción de pasadizos de evacuación en galería comercial del jirón Huallaga,Defensa Civil,15,Alta
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,32,Baja
Construcción clandestina vecinal que invade retiro municipal en Lampa,Desarrollo Urbano,13,Alta
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,50,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,9,Alta
Repavimentación y parchado de pista rota en el pasaje Grau,Desarrollo Urbano,30,Media
Vecino arroja agua sucia y desperdicios al jardín público de la Av. Lima,Medio Ambiente,25,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Lima,Licencias y Fiscalización,10,Alta
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,40,Baja
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,12,Alta
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,40,Baja
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,35,Media
Pago de impuesto de alcabala por compra de departamento en calle Huancavelica,Rentas y Administración,40,Baja
Comercio informal y ambulantes obstruyendo la entrada en calle Huancavelica,Licencias y Fiscalización,30,Media
Error en el registro del autovalúo del predio ubicado en Tarapacá número 563,Rentas y Administración,30,Media
Construcción clandestina vecinal que invade retiro municipal en Bolognesi,Desarrollo Urbano,7,Alta
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Construcción clandestina vecinal que invade retiro municipal en 28 de Julio,Desarrollo Urbano,5,Alta
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,30,Media
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,45,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Bache enorme y peligroso en la pista de la Av. Larco cuadra 130,Desarrollo Urbano,9,Alta
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,55,Baja
Fiscalización de restaurante por condiciones insalubres y olores fuertes en La Unión,Licencias y Fiscalización,20,Alta
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,45,Baja
Vecino arroja agua sucia y desperdicios al jardín público de la Av. La Unión,Medio Ambiente,35,Media
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Huallaga,Defensa Civil,8,Alta
Fraccionamiento de deuda tributaria de años anteriores de predio en Arequipa,Rentas y Administración,50,Baja
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Carabaya,Licencias y Fiscalización,10,Alta
Queja por ruidos molestos excesivos de la discoteca local en la Av. 28 de Julio,Licencias y Fiscalización,20,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,30,Media
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,55,Baja
Simulacro municipal y capacitación de brigadas de Defensa Civil en Bolognesi,Defensa Civil,60,Baja
Construcción clandestina vecinal que invade retiro municipal en San Martín,Desarrollo Urbano,6,Alta
Repavimentación y parchado de pista rota en el pasaje Cuzco,Desarrollo Urbano,30,Media
Queja por ruidos molestos excesivos de la discoteca local en la Av. Huallaga,Licencias y Fiscalización,10,Alta
Fraccionamiento de deuda tributaria de años anteriores de predio en Puno,Rentas y Administración,50,Baja
Plaga de roedores en los jardines públicos cercanos a la calle Lima,Medio Ambiente,15,Alta
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Junín,Defensa Civil,11,Alta
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,65,Baja
Plaga de roedores en los jardines públicos cercanos a la calle Tacna,Medio Ambiente,10,Alta
Simulacro municipal y capacitación de brigadas de Defensa Civil en Puno,Defensa Civil,65,Baja
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Carabaya,Medio Ambiente,10,Alta
Queja por ruidos molestos excesivos de la discoteca local en la Av. Lampa,Licencias y Fiscalización,15,Alta
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,65,Baja
Repavimentación y parchado de pista rota en el pasaje 28 de Julio,Desarrollo Urbano,35,Media
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,60,Baja
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,60,Baja
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón 28 de Julio,Defensa Civil,6,Alta
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,30,Media
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en La Unión,Licencias y Fiscalización,8,Alta
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,50,Baja
Cables eléctricos pelados y expuestos al aire libre frente a parque público,Defensa Civil,12,Alta
Solicitud de evaluación de riesgos por filtración de agua que debilita bases de vivienda,Defensa Civil,35,Media
Fiscalización de restaurante por condiciones insalubres y olores fuertes en Carabaya,Licencias y Fiscalización,15,Alta
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,60,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,65,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,60,Baja
Hueco en la calzada de la calle Lima que daña los vehículos,Desarrollo Urbano,30,Media
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Huallaga,Licencias y Fiscalización,8,Alta
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,40,Baja
Obstrucción de pasadizos de evacuación en galería comercial del jirón Junín,Defensa Civil,20,Alta
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,50,Baja
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,30,Media
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,40,Baja
Solicitud de certificado catastral e información sobre zonificación de mi predio en Huancavelica,Desarrollo Urbano,42,Baja
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,10,Alta
Discoteca y bar clandestino abierto hasta altas horas de la madrugada en Carabaya,Licencias y Fiscalización,15,Alta
Obstrucción de pasadizos de evacuación en galería comercial del jirón Bolognesi,Defensa Civil,20,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,25,Media
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,20,Alta
Limpieza de desmonte y tierra acumulada en la berma central de la Av. Grau,Medio Ambiente,35,Media
Construcción clandestina vecinal que invade retiro municipal en Junín,Desarrollo Urbano,15,Alta
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Huancavelica,Defensa Civil,7,Alta
Vecino arroja agua sucia y desperdicios al jardín público de la Av. Huallaga,Medio Ambiente,35,Media
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,40,Baja
Vecino arroja agua sucia y desperdicios al jardín público de la Av. Puno,Medio Ambiente,35,Media
Simulacro municipal y capacitación de brigadas de Defensa Civil en Tarapacá,Defensa Civil,60,Baja
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,5,Alta
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,20,Alta
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,45,Baja
Obstrucción de pasadizos de evacuación en galería comercial del jirón Cuzco,Defensa Civil,15,Alta
Hueco en la calzada de la calle La Unión que daña los vehículos,Desarrollo Urbano,25,Media
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,40,Baja
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,55,Baja
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,40,Baja
Acumulación de basura y residuos sólidos en la esquina del parque de la calle Grau,Medio Ambiente,20,Alta
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 261,Medio Ambiente,6,Alta
Fraccionamiento de deuda tributaria de años anteriores de predio en Huancavelica,Rentas y Administración,50,Baja
Solicitud de estado de cuenta de arbitrios e impuesto predial,Rentas y Administración,45,Baja
Error en el registro del autovalúo del predio ubicado en Tacna número 331,Rentas y Administración,25,Media
Solicitud de alineamiento de predio y planos de zonificación,Desarrollo Urbano,55,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Pared agrietada de casona antigua con grave riesgo de colapso en el jirón Tarapacá,Defensa Civil,11,Alta
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Emisión de constancia de no adeudo tributario para transferencia de inmueble,Rentas y Administración,55,Baja
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Inspección técnica de seguridad en edificaciones ITSE de local comercial,Defensa Civil,45,Baja
Derrumbe parcial de vereda pública frente a la casa 965 de la calle Puno,Desarrollo Urbano,15,Alta
Simulacro municipal y capacitación de brigadas de Defensa Civil en Lampa,Defensa Civil,65,Baja
Licencia de habilitación urbana y subdivisión de lote multifamiliar,Desarrollo Urbano,50,Baja
Error en el registro del autovalúo del predio ubicado en Huancavelica número 183,Rentas y Administración,35,Media
Actualización de datos de contribuyente y cambio de domicilio fiscal,Rentas y Administración,65,Baja
Plaga de roedores en los jardines públicos cercanos a la calle Lampa,Medio Ambiente,15,Alta
Bodega excede el aforo permitido y vende licor en la vía pública,Licencias y Fiscalización,35,Media
Local comercial opera sin licencia de funcionamiento ni medidas básicas,Licencias y Fiscalización,30,Media
Árbol seco y carcomido a punto de caer sobre la vereda frente al número 111,Medio Ambiente,13,Alta
Error en el registro del autovalúo del predio ubicado en Tarapacá número 403,Rentas y Administración,35,Media
Establecimiento educativo no cuenta con extintores ni señalización de evacuación,Defensa Civil,10,Alta
Reclamo por cobro excesivo o duplicado de arbitrios de limpieza pública,Rentas y Administración,25,Media
Estructura metálica de cartel publicitario debilitada por el viento con riesgo de caída,Defensa Civil,13,Alta
Solicitud de donación de plantones de árboles para campaña de arborización,Medio Ambiente,65,Baja
Vecino arroja agua sucia y desperdicios al jardín público de la Av. Carabaya,Medio Ambiente,35,Media
Hueco en la calzada de la calle Bolognesi que daña los vehículos,Desarrollo Urbano,25,Media
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,10,Alta
Derrumbe parcial de vereda pública frente a la casa 820 de la calle Bolognesi,Desarrollo Urbano,20,Alta
Error en el registro del autovalúo del predio ubicado en 28 de Julio número 138,Rentas y Administración,30,Media
Consulta sobre descuentos y beneficios para el pronto pago de arbitrios,Rentas y Administración,55,Baja
Solicitud de regado y mantenimiento de áreas verdes del parque principal,Medio Ambiente,50,Baja
Poda urgente de árbol cuyas ramas están enredadas en cables de alta tensión,Medio Ambiente,8,Alta
Solicitud de licencia de funcionamiento comercial para tienda de abarrotes,Licencias y Fiscalización,50,Baja
Repavimentación y parchado de pista rota en el pasaje Huancavelica,Desarrollo Urbano,25,Media
Comercio informal y ambulantes obstruyendo la entrada en calle Bolognesi,Licencias y Fiscalización,30,Media
